id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000jezf,1000,1300,1000,03456010,32.589,48.406,49.097,3100,51009_1610,16.508,Isterberg,NA,NA,33.46484375,540.8604694466557
DENILD800000a24a,1000,1300,1000,03456018,31.932,34.9,39.263,3100,31001_2720,7.33,Quendorf,NA,NA,52.0771484375,268.1723584785811
DENILD800000lv9n,1000,1300,1000,03456010,31.234,33.593,34.013,3100,51009_1610,2.779,Isterberg,NA,NA,5.787109375,14.45745549676109
DENILD800000gYPk,1000,1300,1000,03456010,32.336,37.294,42.027,3100,31001_2000,9.691,Isterberg,NA,NA,275.8095703125,3744.058445692068
DENILD800000a22l,1000,1300,1000,03456018,31.613,35.984,38.929,3100,31001_2720,7.316,Quendorf,NA,NA,117.8857421875,6114.823512105147
DENILD800000jeDa,1000,1300,1000,03456010,32.455,35.177,38.074,3100,51009_1610,5.619,Isterberg,NA,NA,13.478515625,56.21479274870733
DENILD800000a23G,1000,1300,1000,03456018,31.686,34.71,38.646,3100,31001_2720,6.96,Quendorf,NA,NA,26.1767578125,1143.0334350857775
DENILD800000a26o,1000,1300,1000,03456018,31.029,35.11,39.792,3100,31001_2720,8.763,Quendorf,NA,NA,3.1142578125,1401.7108719014198
DENILD800000orpS,1000,1300,1000,03456018,31.178,34.442,35.354,3100,31001_2000,4.176,Quendorf,NA,NA,11.900390625,40.62407508178673
DENILD800000jgXQ,1000,1300,1000,03456018,31.857,35.142,35.142,1000,51009_1610,3.286,Quendorf,NA,NA,9.91015625,32.55504969590619
DENILD800000a295,1000,1300,1000,03456018,30.827,36.075,40.123,3100,31001_1000,9.297,Quendorf,6,Alter Postdamm,145.419921875,959.5005472109126
DENILD800000jeDe,1000,1300,1000,03456018,31.825,36.209,36.209,1000,51009_1610,4.384,Quendorf,NA,NA,67.1591796875,294.4256105701358
DENILD800000a22c,1000,1300,1000,03456018,31.177,44.857,44.857,1000,31001_2500,13.68,Quendorf,NA,NA,11.09375,151.76151503399979
